case number,case detail,time of fir,no of suspects,progress,police station numbers
Cx53z,Shoplifting at a mall,2019-09-22 14:41:10,4,closed,27083798
wXKUx,Burglary in a residential area,2022-04-07 17:47:44,9,closed,65763120
AdM0A,Public disturbance,2022-06-05 05:20:50,8,closed,40694287
9qr7h,Arson,2019-05-04 04:35:23,8,closed,43818901
M8aKq,Stalking,2020-12-06 07:18:18,2,pending,37284094
Sep1L,Shoplifting at a mall,2021-03-26 10:38:54,3,pending,58380933
rrAht,Identity theft,2020-01-18 17:14:30,8,closed,19321387
dP8Jc,Cybercrime,2020-01-24 20:18:34,1,pending,68067365
aysN8,Human trafficking,2022-07-10 13:31:57,7,closed,01476656
3f9zb,Cybercrime,2021-04-14 00:05:40,1,closed,53628316
AlHR4,Robbery at a convenience store,2021-06-28 05:01:57,3,closed,63214545
nDy5c,Forgery and fraud,2021-01-08 04:10:06,8,pending,29526467
TJlWF,Cybercrime,2021-06-16 07:34:19,5,closed,67639550
Wbb8F,Domestic violence,2020-11-07 13:28:22,1,closed,09376878
6dMvh,Human trafficking,2021-04-20 10:22:35,4,pending,13376430
CQGAA,Public disturbance,2019-03-12 07:35:32,1,closed,34337520
Meeh1,Homicide,2019-10-18 00:20:34,4,closed,34879024
blBfe,Child abuse,2020-02-14 23:43:02,3,pending,64772430
pinE5,Car theft,2020-01-26 17:44:50,4,closed,14643636
T7KzK,Assault on an officer,2019-07-03 23:21:03,4,pending,00696725
RVRNT,Cybercrime,2021-08-09 02:32:01,9,closed,28911144
oHaZJ,Stalking,2020-04-20 01:44:40,8,pending,16872862
S0Zfz,Forgery and fraud,2019-11-13 23:05:30,7,closed,64803099
O1tCq,Assault on an officer,2020-05-04 10:42:15,5,pending,88956338
5uWwG,Arson,2019-11-11 11:03:15,8,pending,59602792
LZlkn,Drug trafficking,2022-09-04 07:29:55,10,pending,63690004
nXAHF,Trespassing,2019-04-13 01:14:41,2,pending,91887517
GpfYT,Domestic violence,2020-12-18 09:44:07,4,pending,18705056
nJar7,Assault in a public place,2022-07-17 07:40:10,8,closed,32477911
1yCtD,Child abuse,2022-08-20 23:37:12,1,closed,14131539
S1hGJ,Burglary in a residential area,2021-09-07 04:52:10,1,closed,05641058
p7mh7,Burglary in a residential area,2021-08-30 21:24:03,7,closed,06886484
arm2N,Forgery and fraud,2021-02-03 18:41:02,9,closed,72459856
wIXXI,Assault on an officer,2021-12-15 22:02:42,2,closed,69097707
YHRbj,Human trafficking,2022-10-18 01:24:15,5,pending,39263107
laZ7E,Burglary in a residential area,2021-07-15 16:13:36,4,pending,60403507
WCgG9,Stalking,2021-05-15 15:49:21,2,pending,48024166
zCD2F,Drug trafficking,2020-12-27 04:23:22,7,pending,38641192
k9cJA,Shoplifting at a mall,2022-05-17 19:49:02,5,pending,22406775
jhpXg,Shoplifting at a mall,2020-08-17 23:16:09,6,closed,49799137
wgt1O,Burglary in a residential area,2022-10-15 21:57:32,4,pending,69318957
D7PGZ,Car theft,2020-10-12 14:08:29,9,closed,79061125
F1uFM,Trespassing,2021-01-27 15:42:14,9,closed,43948843
gib5B,Drug trafficking,2019-04-06 07:10:08,4,closed,12586862
AqEYG,Drug trafficking,2021-11-18 07:10:33,9,pending,94898558
zlm4C,Vandalism in a park,2021-04-04 05:10:22,8,closed,86041080
2yNgk,Trespassing,2021-11-29 00:52:20,7,closed,42377040
eNDLS,Stalking,2019-10-01 00:18:41,1,pending,05060005
6Pbil,Cybercrime,2021-09-14 11:49:21,3,pending,80021171
pbqYG,Assault on an officer,2019-10-12 10:00:51,8,pending,06311201
3jyc3,Domestic violence,2022-01-14 04:55:15,10,closed,34696218
Cnieu,Shoplifting at a mall,2020-11-22 15:22:17,4,closed,81769384
303aM,Car theft,2020-11-26 05:53:30,3,closed,50846760
eFMxt,Environmental crime,2020-09-06 18:40:34,9,closed,77022957
yGPW2,Arson,2021-01-11 03:57:37,10,closed,50572788
r4FwK,Burglary in a residential area,2020-12-21 07:54:50,7,pending,60653725
bpQ5j,Human trafficking,2019-11-22 01:09:03,3,pending,58425647
nZ7Lm,Assault on an officer,2020-11-18 16:19:51,5,closed,42318438
ERay0,Drug trafficking,2021-08-07 06:15:51,10,closed,64527704
0HI8Q,Assault on an officer,2022-08-29 18:18:18,3,closed,50624914
z7wEz,Human trafficking,2021-08-31 22:37:54,5,closed,78395544
zjkJW,Domestic violence,2022-08-23 00:55:35,6,closed,38247827
9hFaX,Car theft,2019-12-02 23:00:44,10,closed,46297603
QX6kB,Assault in a public place,2020-04-12 13:48:51,8,pending,24280312
FOetQ,Environmental crime,2022-07-08 10:08:24,8,pending,61246195
fFAoT,Domestic violence,2020-10-15 02:06:18,7,closed,48894647
uSSmL,Public disturbance,2019-01-20 19:10:58,2,pending,25384977
sTnfE,Assault on an officer,2021-01-02 12:53:03,8,closed,76955751
A98Py,Domestic violence,2020-08-14 06:43:49,6,closed,44476215
boAUD,Environmental crime,2021-04-19 15:24:25,10,pending,98285553
W9JjI,Kidnapping,2020-09-28 19:17:23,8,closed,12772540
OYnwL,Burglary in a residential area,2021-01-06 15:07:42,1,pending,32965211
KM6rO,Vandalism in a park,2020-03-12 02:52:17,1,pending,27936789
YqqTF,Public disturbance,2020-03-01 10:00:57,7,pending,28861118
AYjMo,Drug trafficking,2019-12-07 19:22:51,5,pending,20550314
51n7z,Trespassing,2022-10-09 19:21:30,9,closed,91720863
aKpDn,Car theft,2021-09-22 14:28:39,10,closed,92999929
xkzLt,Arson,2022-09-20 23:01:00,4,pending,37683521
LCARh,Homicide,2020-03-21 04:23:14,1,closed,83405828
NRuse,Human trafficking,2020-12-07 19:57:17,7,closed,41158000
rMNuZ,Shoplifting at a mall,2020-09-12 03:25:26,5,closed,83094463
5q59r,Forgery and fraud,2020-12-29 15:26:17,8,closed,58793490
IV8cD,Public disturbance,2019-01-31 06:34:35,7,pending,20746405
kCUIQ,Shoplifting at a mall,2022-05-03 14:20:12,5,pending,65309138
fObBe,Arson,2021-02-24 14:39:16,10,pending,62885379
WepDn,Identity theft,2019-05-27 20:39:16,10,pending,96060838
ko5F3,Arson,2020-02-18 02:48:25,4,closed,74791464
eKJZj,Identity theft,2020-10-29 13:49:54,2,pending,52423512
442N3,Drug trafficking,2020-11-16 01:46:20,10,pending,78902655
KEd5g,Child abuse,2019-04-26 03:20:39,3,closed,79172666
QYNBc,Car theft,2019-06-07 07:41:39,5,pending,80185425
cmF8F,Burglary in a residential area,2022-03-25 00:59:12,4,closed,39310582
fkivZ,Drug trafficking,2022-09-22 14:13:46,2,closed,09743487
547Rj,Assault on an officer,2022-05-19 14:06:48,5,closed,81367093
Ywchs,Shoplifting at a mall,2021-01-06 09:03:50,1,pending,30266863
IrJs1,Domestic violence,2019-10-27 13:01:15,7,pending,87774056
XDmJB,Assault in a public place,2019-02-22 16:02:11,9,closed,12981933
Nyr6b,Assault on an officer,2022-05-14 18:41:47,6,closed,24407232
9XVKY,Identity theft,2020-10-31 14:18:17,5,closed,69322572
Rkfa9,Vandalism in a park,2020-04-10 02:44:32,4,closed,17397377
cd84N,Robbery at a convenience store,2022-10-01 20:52:46,10,closed,47277714
RY6GS,Trespassing,2019-05-28 16:45:03,8,pending,06737624
7kJ8O,Forgery and fraud,2022-10-03 16:07:03,6,closed,64388186
YJKfx,Public disturbance,2022-09-21 12:19:12,8,pending,17582904
9dBwW,Stalking,2019-09-12 21:47:40,9,closed,80038878
FKq3l,Vandalism in a park,2019-01-10 17:14:25,8,closed,30975654
QPQdf,Public disturbance,2022-12-03 09:30:09,8,closed,06554259
ICPpD,Homicide,2019-05-16 16:23:24,10,pending,34568579
GcL44,Environmental crime,2022-02-13 04:54:57,8,pending,55899865
vZjwT,Homicide,2022-03-09 22:37:45,2,pending,71178468
kTu8i,Identity theft,2021-07-27 15:02:34,3,pending,59699079
YDdck,Robbery at a convenience store,2020-09-22 21:50:59,10,pending,68473851
UOoiw,Shoplifting at a mall,2019-02-08 02:16:01,7,closed,66027582
qTE3w,Burglary in a residential area,2020-04-17 01:25:19,3,closed,76188933
p58tX,Human trafficking,2019-07-23 14:14:06,5,closed,71292140
oyMWS,Cybercrime,2019-06-06 05:21:57,7,closed,41307535
8w41y,Human trafficking,2021-11-01 10:41:37,10,closed,23850945
qQfqZ,Robbery at a convenience store,2021-07-29 22:28:19,8,closed,00410000
HFJNT,Trespassing,2020-03-03 14:39:00,6,closed,65038424
F58gk,Robbery at a convenience store,2021-04-17 17:01:23,4,closed,50894461
CfKmt,Human trafficking,2021-04-25 10:01:07,10,closed,46713982
oWCA2,Identity theft,2022-11-20 10:26:08,7,pending,11542731
AgMpF,Vandalism in a park,2019-04-02 05:29:42,3,pending,86817208
X3P4l,Drug trafficking,2022-09-25 17:10:54,8,pending,27624448
YjT3e,Identity theft,2021-02-05 15:23:01,4,closed,98829050
t3nMD,Cybercrime,2019-07-01 15:39:02,10,closed,02584814
fOHgo,Car theft,2021-05-01 08:41:42,1,closed,12176014
RTmzm,Car theft,2022-06-01 06:33:30,4,pending,01284797
kB0lT,Shoplifting at a mall,2022-02-11 03:40:27,7,closed,23585205
pQHlB,Trespassing,2022-10-11 15:39:30,9,pending,35110145
xKdqr,Robbery at a convenience store,2021-07-14 18:25:55,1,closed,39670992
ZjcGX,Assault in a public place,2019-01-05 19:13:52,3,closed,69950274
YlpD1,Child abuse,2019-10-10 11:30:32,4,pending,39751376
vTBJG,Assault in a public place,2019-10-06 22:47:50,6,pending,75559520
YW9GK,Arson,2021-10-16 20:38:03,1,closed,01104157
VvZmu,Forgery and fraud,2022-07-06 21:51:41,9,closed,02046902
UfLO3,Car theft,2021-04-06 22:43:33,2,closed,60117627
Rcm9H,Kidnapping,2022-02-14 10:39:00,3,pending,84627624
slCT8,Assault on an officer,2020-05-13 11:25:09,1,closed,30260646
uo3OJ,Public disturbance,2020-06-29 12:11:31,3,closed,55930385
bg09n,Environmental crime,2020-05-01 04:30:01,5,pending,32314247
4LPgQ,Homicide,2022-12-24 05:02:30,3,pending,54374072
NvM9C,Identity theft,2021-10-10 07:24:14,1,closed,42966585
MpBpA,Drug trafficking,2022-11-25 13:42:36,7,closed,51816709
pfqOH,Trespassing,2020-10-17 00:11:08,1,closed,84161632
c9KZK,Robbery at a convenience store,2022-11-13 22:10:06,2,closed,62474109
8yX8m,Assault in a public place,2020-12-24 05:50:05,10,closed,50417377
HKNCT,Kidnapping,2019-11-15 03:53:02,10,closed,43875395
dzJue,Trespassing,2019-09-28 20:46:18,7,closed,98738688
pV9SA,Arson,2021-10-23 08:05:58,2,pending,66792559
zlwLB,Kidnapping,2019-12-28 11:43:45,8,closed,25907849
t62zR,Environmental crime,2019-04-01 08:18:22,7,closed,64441043
szzeB,Trespassing,2020-04-17 21:32:31,4,pending,71372427
UwRjz,Car theft,2021-07-31 09:19:06,2,pending,19039614
cOAcF,Human trafficking,2021-02-23 13:19:20,5,pending,33090953
zQhD3,Vandalism in a park,2022-06-17 19:55:54,10,closed,81053704
qsDPw,Identity theft,2020-09-03 05:52:48,10,pending,42172482
2FXNK,Assault in a public place,2022-01-18 14:46:19,4,closed,25088615
uOq22,Environmental crime,2021-08-04 10:59:23,5,pending,45335186
YTq99,Trespassing,2019-02-05 12:07:18,3,closed,59201628
he5lb,Human trafficking,2021-03-21 23:49:43,4,pending,95422530
c6CyP,Environmental crime,2021-01-14 20:25:29,10,closed,37181038
zAgk0,Kidnapping,2020-11-30 21:04:33,5,closed,75958791
4sIRk,Trespassing,2019-05-11 20:27:03,5,pending,12937052
BYt2H,Identity theft,2022-07-10 19:26:18,2,closed,85383770
fBSt4,Cybercrime,2019-03-17 12:41:31,7,closed,66497039
L6ZTE,Shoplifting at a mall,2021-10-18 04:59:59,5,pending,71519431
fVqvz,Identity theft,2020-05-26 01:41:27,6,closed,55275122
ZZCwF,Assault on an officer,2020-01-11 04:25:14,1,pending,98980811
ilrbm,Shoplifting at a mall,2021-07-18 21:33:01,9,closed,81193664
AcPDQ,Burglary in a residential area,2020-10-02 16:22:05,9,pending,19463671
NqhGu,Domestic violence,2020-04-02 12:41:25,4,closed,75159921
DLqTa,Stalking,2021-10-24 23:36:34,3,pending,71246822
D9YKn,Robbery at a convenience store,2020-05-11 17:35:58,2,pending,22508437
N82r9,Domestic violence,2021-10-20 02:58:15,2,pending,43745240
8EcbY,Public disturbance,2021-01-17 14:39:49,4,closed,57868422
JeX67,Domestic violence,2019-09-12 16:37:54,5,pending,44765545
iUSVr,Kidnapping,2020-03-11 22:40:06,6,closed,61359334
qKNKA,Shoplifting at a mall,2020-04-30 07:34:01,10,pending,86465449
LIh6s,Stalking,2022-10-18 23:44:50,3,closed,63588921
YoXXv,Human trafficking,2022-01-20 05:10:48,6,pending,34053366
aWtOn,Arson,2021-08-11 06:49:49,8,closed,57954087
v5EFw,Robbery at a convenience store,2021-10-02 01:17:32,5,pending,38532441
86ypo,Stalking,2022-08-16 20:43:55,3,pending,41417601
hvvEq,Vandalism in a park,2021-09-11 06:24:49,9,pending,42283358
jncGl,Trespassing,2021-07-17 10:20:43,9,pending,18367045
Ow02T,Shoplifting at a mall,2020-05-21 03:25:57,8,pending,53211596
pR1hY,Shoplifting at a mall,2019-02-23 08:15:15,1,closed,88298705
Lzdcu,Drug trafficking,2022-10-14 16:42:25,1,pending,10974037
UF4bj,Stalking,2020-06-01 08:24:49,6,closed,95973584
RxC0H,Domestic violence,2022-02-16 17:40:27,10,pending,37756752
ZyZ4b,Burglary in a residential area,2021-10-10 11:42:33,6,closed,70886405
lL73c,Child abuse,2021-09-02 10:21:50,5,closed,63089290
hRm1Z,Public disturbance,2022-09-20 08:11:50,9,closed,24935041
OSmDl,Domestic violence,2020-10-10 08:40:29,3,closed,30257469
fvP8s,Public disturbance,2021-04-27 03:18:32,8,closed,77588551
oBOqj,Human trafficking,2022-10-19 07:03:52,8,closed,93552657
AwxUp,Identity theft,2019-02-08 08:30:17,3,pending,94264254
36q9b,Public disturbance,2021-05-15 17:43:59,6,pending,05082704
isUvd,Robbery at a convenience store,2021-12-06 20:03:59,3,closed,88563811
vKcfz,Burglary in a residential area,2019-05-27 18:26:21,2,closed,42254119
2WHZD,Stalking,2021-04-18 15:05:28,8,pending,06999253
vy8ME,Stalking,2021-10-29 19:11:43,8,closed,67392471
yIWQD,Arson,2022-12-31 14:38:32,6,closed,06883611
gqmK7,Environmental crime,2022-11-21 15:58:37,7,pending,38030616
bX3BF,Drug trafficking,2021-08-21 16:47:59,10,pending,71476160
qcPOt,Robbery at a convenience store,2019-01-25 17:12:43,9,closed,68085989
iRFSF,Robbery at a convenience store,2020-07-23 00:30:33,9,closed,10602875
8e5nE,Human trafficking,2022-08-15 12:49:19,3,closed,23898252
mdY9x,Assault on an officer,2022-12-26 20:21:15,8,closed,36840998
imyWp,Car theft,2022-05-23 11:11:53,7,pending,99813689
qQf9O,Assault on an officer,2019-11-04 16:58:21,10,closed,21080953
gkQD9,Burglary in a residential area,2021-08-05 15:42:57,7,pending,11112497
A2SUt,Burglary in a residential area,2020-03-02 09:47:14,10,pending,71109455
i6Z7t,Cybercrime,2020-04-18 14:52:33,1,pending,65018943
m6dgr,Assault on an officer,2019-10-06 04:43:42,6,pending,80346840
K3lg7,Cybercrime,2022-05-28 08:09:12,5,closed,29425061
06kt5,Arson,2020-06-19 08:07:02,5,pending,38919745
D3417,Robbery at a convenience store,2022-09-13 00:43:57,10,closed,50059905
1VVTv,Robbery at a convenience store,2022-08-04 09:54:23,4,pending,24162776
EzNVj,Trespassing,2020-05-21 11:36:34,1,closed,66348143
HwDAa,Forgery and fraud,2022-09-29 10:15:30,9,pending,77568020
kmUiw,Drug trafficking,2020-11-09 18:01:17,1,pending,76634873
wCJm7,Stalking,2020-12-11 18:19:25,8,pending,19839996
U9QjI,Drug trafficking,2021-08-15 10:59:01,7,pending,08870404
9T3xJ,Homicide,2022-05-04 10:28:01,2,pending,26640717
uHBcU,Kidnapping,2019-10-21 05:51:36,8,closed,27572284
hKxhy,Trespassing,2020-12-23 01:40:41,8,closed,06967774
rPBmu,Forgery and fraud,2019-10-14 07:14:14,3,closed,72280301
SGN4J,Assault in a public place,2019-02-15 09:22:00,3,pending,93328984
kaRJR,Cybercrime,2020-05-04 03:50:17,5,closed,95223008
6S5cg,Car theft,2021-12-27 19:23:42,2,closed,33031809
4jCVJ,Identity theft,2019-10-07 04:08:31,9,pending,49028823
zWE9R,Public disturbance,2021-08-27 07:01:12,1,pending,11712816
wbN70,Vandalism in a park,2019-09-24 02:22:35,2,pending,34153354
EZzOw,Arson,2020-02-06 02:29:17,9,closed,53695012
OT1xi,Environmental crime,2019-07-16 18:45:10,8,pending,78598092
dkija,Kidnapping,2021-06-16 19:26:47,7,pending,44227061
QUgUj,Vandalism in a park,2021-11-17 18:31:58,2,closed,51216952
BleqF,Stalking,2020-10-28 19:53:35,7,closed,33507634
Sx9S4,Forgery and fraud,2022-04-05 06:05:08,7,pending,99437244
tldZM,Vandalism in a park,2019-12-05 10:58:04,2,closed,02038297
qdz8V,Human trafficking,2022-07-28 10:32:52,10,pending,69170807
Oczxc,Trespassing,2022-02-13 03:04:22,1,pending,40623085
O5p40,Car theft,2020-11-16 04:39:19,8,closed,21994207
3TftG,Child abuse,2021-06-04 02:41:55,7,pending,46642891
4sXw2,Identity theft,2021-04-12 23:15:48,3,closed,08971985
8eM4g,Trespassing,2020-10-26 08:17:23,9,pending,57246879
qBOM9,Child abuse,2019-08-10 05:37:59,1,closed,83953783
sF28B,Car theft,2021-06-05 23:27:55,2,pending,18999307
SDqwz,Vandalism in a park,2021-05-22 05:48:40,3,closed,29184843
EBLNn,Burglary in a residential area,2022-12-09 09:06:21,2,pending,68138511
sGvd0,Domestic violence,2022-12-03 22:39:27,5,pending,07376104
NAsJG,Public disturbance,2019-10-24 12:08:12,9,pending,61043770
xWJO5,Identity theft,2019-05-16 05:14:50,1,closed,50899986
I1mjB,Drug trafficking,2022-01-20 10:52:43,4,pending,17321564
WxWOD,Identity theft,2020-08-15 15:32:49,9,pending,74893026
QvzTv,Domestic violence,2021-11-12 10:50:18,5,closed,09498184
IyvaG,Forgery and fraud,2021-08-30 09:53:17,10,pending,54964287
JYSuw,Cybercrime,2020-02-21 07:56:04,10,closed,92514887
9HIvw,Child abuse,2020-08-31 18:26:13,4,closed,31561207
FXvpB,Forgery and fraud,2022-01-28 06:42:32,10,closed,21229708
iTtBc,Child abuse,2021-08-21 02:42:29,9,pending,11361841
Ce56Y,Public disturbance,2020-06-07 22:27:44,5,closed,29347408
aswJG,Stalking,2019-06-03 07:18:12,10,pending,32488024
jChyT,Human trafficking,2021-04-11 07:34:52,1,closed,65177909
NIVSd,Arson,2020-08-06 16:38:11,2,closed,59718120
mB27j,Domestic violence,2021-05-15 13:27:12,2,pending,13153794
89zBK,Cybercrime,2020-01-24 19:01:07,8,pending,99573660
ddd7S,Burglary in a residential area,2019-06-01 01:29:36,6,pending,24914497
xUX73,Car theft,2021-01-04 10:05:12,9,pending,41587045
ANEjp,Trespassing,2019-12-11 04:09:44,4,closed,75555408
UylyI,Identity theft,2020-05-07 03:54:19,4,closed,28251985
8gxF3,Vandalism in a park,2022-04-17 22:13:19,8,closed,50370704
4DZfH,Drug trafficking,2022-11-17 08:43:39,9,pending,58200778
nEQEf,Child abuse,2019-05-19 20:35:17,10,closed,62694971
vJVZ2,Assault on an officer,2022-11-28 23:47:18,8,closed,18142429
83JiK,Assault on an officer,2020-08-15 06:21:23,10,closed,07451047
x6ZPZ,Trespassing,2021-06-26 11:53:46,4,pending,34474327
Covie,Vandalism in a park,2019-10-01 11:37:11,6,pending,44908679
siUOn,Robbery at a convenience store,2021-02-05 18:00:08,2,pending,91034356
wrv3N,Shoplifting at a mall,2019-09-14 04:53:02,4,pending,03045359
lfbKn,Public disturbance,2021-05-17 23:23:16,8,closed,06791067
4wtJe,Human trafficking,2022-10-01 22:14:53,8,pending,24867579
jXKJl,Identity theft,2021-09-08 08:32:09,8,closed,77728017
nnBMw,Environmental crime,2021-01-04 07:49:40,6,pending,81553975
G7A8V,Domestic violence,2022-08-11 01:10:54,2,pending,78586363
NNuUP,Child abuse,2022-12-18 14:21:35,2,closed,04553641
wgZMU,Human trafficking,2019-12-05 01:42:56,4,pending,70675496
UssyU,Environmental crime,2019-01-12 01:58:02,10,closed,46397532
n1HGf,Human trafficking,2021-12-12 07:26:26,6,closed,89809000
MG2Ll,Robbery at a convenience store,2020-04-22 18:52:40,3,closed,18583790
lRitc,Human trafficking,2021-04-29 01:54:10,8,closed,55553312
utoTU,Homicide,2022-09-29 20:19:25,2,pending,33377035
g9TPn,Vandalism in a park,2020-10-11 06:06:39,6,closed,18716069
f7tDm,Forgery and fraud,2019-01-11 18:24:13,10,pending,65809674
4FLAU,Vandalism in a park,2021-04-28 02:26:20,8,closed,06793287
PoXJ7,Trespassing,2022-03-24 00:55:39,9,pending,45511329
EnkOg,Arson,2019-07-16 08:24:58,2,pending,94901899
VIjlu,Assault on an officer,2020-03-28 13:35:55,6,pending,44698756
N13yV,Vandalism in a park,2021-01-20 12:07:39,4,pending,92276174
0S7BF,Arson,2021-02-24 06:26:43,1,closed,46434596
toV4i,Identity theft,2020-08-21 22:40:02,10,pending,73048776
WIOW0,Drug trafficking,2019-02-10 23:59:08,10,pending,87949374
uM40u,Burglary in a residential area,2020-02-12 12:30:44,2,closed,19943074
4w6VC,Forgery and fraud,2019-03-31 13:49:45,8,closed,94227011
B8b15,Burglary in a residential area,2022-07-20 12:37:11,7,closed,05678139
NUIR6,Cybercrime,2021-11-13 03:00:38,8,closed,73846637
cQHaf,Arson,2022-09-24 06:40:58,1,closed,37329792
SKpAs,Child abuse,2019-06-30 10:26:35,5,pending,54455901
bnqbE,Public disturbance,2021-04-23 01:36:15,3,pending,14097511
J2ZYv,Environmental crime,2020-07-13 14:10:59,2,closed,69072613
cp4Q5,Homicide,2020-09-17 13:20:44,1,pending,22821558
tyUmp,Environmental crime,2020-08-05 18:23:38,2,pending,23622467
b3fzl,Forgery and fraud,2020-04-18 09:09:54,10,pending,49254653
JTFxz,Environmental crime,2019-01-04 08:21:16,9,closed,82651031
XnvhH,Trespassing,2020-05-24 16:09:02,8,pending,04229914
i26Cv,Arson,2020-04-03 14:15:44,6,pending,67801524
m7DDv,Child abuse,2020-07-03 17:07:57,8,pending,13098929
bPWjn,Burglary in a residential area,2021-04-21 08:09:25,3,closed,52606876
TbSqs,Environmental crime,2020-07-09 04:37:49,1,closed,96721582
GMyB9,Drug trafficking,2019-02-07 10:21:02,4,pending,73392253
dwcRZ,Forgery and fraud,2020-06-11 13:33:36,8,closed,11434004
Gdm2P,Robbery at a convenience store,2021-09-14 09:39:45,4,closed,57185482
cChLZ,Stalking,2022-09-06 14:54:30,9,pending,97233162
QvIRa,Robbery at a convenience store,2020-01-31 20:22:30,5,closed,53257767
F1cBi,Assault on an officer,2020-10-30 18:03:29,2,closed,51509634
Cae8j,Assault on an officer,2022-05-06 18:26:06,7,pending,76486556
E5twG,Trespassing,2020-01-10 21:30:41,7,closed,46723572
3TW4I,Trespassing,2021-10-31 02:47:58,2,closed,46424861
Si1Ho,Assault on an officer,2022-09-21 12:13:59,1,pending,95614957
zSbDm,Arson,2021-03-12 04:21:47,5,pending,27082625
mCR9H,Cybercrime,2021-08-01 03:08:49,7,pending,58072970
OCAbL,Homicide,2019-05-16 16:41:17,1,pending,76819042
5E9Zs,Identity theft,2019-11-25 12:31:45,3,closed,14667536
YF3x7,Assault on an officer,2020-06-04 18:50:11,10,closed,89827214
58dzP,Burglary in a residential area,2021-03-15 00:03:57,6,closed,03076293
30AlE,Shoplifting at a mall,2019-02-13 19:38:33,7,pending,17809300
ZFWno,Child abuse,2022-06-07 21:45:45,4,closed,83343948
zMcP5,Trespassing,2019-05-04 09:52:26,3,closed,01124953
Q9bG4,Trespassing,2021-06-10 14:26:01,1,closed,31311863
QOeAj,Assault on an officer,2019-08-19 21:22:11,5,closed,85886028
P7vlE,Forgery and fraud,2020-07-29 13:17:25,3,pending,32310250
kFlgS,Identity theft,2022-10-13 23:53:41,1,pending,28331968
q0PRK,Drug trafficking,2020-04-07 16:57:05,3,pending,16040202
dzDsT,Cybercrime,2020-05-25 12:49:05,2,pending,63761476
ZLSTa,Robbery at a convenience store,2020-05-13 04:02:29,10,closed,43607716
KLMvp,Vandalism in a park,2019-09-02 16:27:37,6,pending,93132753
tdqGj,Trespassing,2021-01-14 03:23:40,9,pending,37635616
jye0x,Assault on an officer,2021-10-05 17:30:37,4,closed,96040243
uXIHE,Stalking,2019-08-26 12:34:59,9,pending,05325774
p6lp5,Environmental crime,2019-01-15 07:36:12,3,pending,04808145
LENJ1,Environmental crime,2021-03-04 18:49:55,8,pending,97870230
0GW3X,Arson,2020-04-15 21:06:53,2,closed,25312844
McP9q,Shoplifting at a mall,2022-06-25 12:11:01,10,closed,60670239
YKqlu,Public disturbance,2022-08-17 12:42:05,8,closed,81144723
xIjD2,Drug trafficking,2021-08-11 00:08:18,1,closed,26243325
KrGSe,Trespassing,2020-02-12 13:52:01,2,pending,01835163
npjZX,Vandalism in a park,2019-03-09 05:01:10,10,closed,94201038
2cm4b,Human trafficking,2019-07-22 09:25:38,10,pending,96737211
VWa8G,Vandalism in a park,2019-07-25 08:35:33,3,pending,48026173
MZCd5,Shoplifting at a mall,2019-11-24 04:06:10,3,pending,85247093
2YppG,Drug trafficking,2022-12-19 12:38:28,4,pending,99765169
SmpR2,Human trafficking,2022-10-09 00:30:57,1,closed,80481272
L0EUn,Trespassing,2019-03-13 12:42:21,3,closed,92973774
isxR3,Robbery at a convenience store,2022-05-11 00:54:17,9,pending,06729833
Iiye9,Environmental crime,2020-05-08 07:37:31,8,closed,30130955
R1Wsj,Drug trafficking,2021-06-03 23:43:40,10,closed,10209860
wDt4S,Human trafficking,2022-05-09 10:20:00,10,pending,25809885
zssC6,Domestic violence,2020-11-15 21:55:39,4,pending,26011926
t67xk,Environmental crime,2020-01-28 20:02:43,10,pending,06905544
B1RVv,Burglary in a residential area,2021-03-28 19:18:30,6,pending,25556903
6vGW6,Assault on an officer,2022-08-15 13:00:16,5,pending,64806705
Bx7gE,Environmental crime,2021-02-15 16:00:14,2,pending,25517979
SzVG2,Homicide,2021-06-04 21:35:44,7,closed,86992414
S5hJn,Car theft,2020-02-04 21:19:19,3,pending,32873946
YDF1m,Forgery and fraud,2020-08-29 06:52:27,7,pending,47959005
KJLzU,Arson,2021-03-22 20:26:06,3,closed,05620687
Kj0Rc,Identity theft,2019-10-03 16:08:59,5,pending,29634379
OKYpz,Public disturbance,2021-03-05 03:27:34,3,closed,59335024
O459g,Public disturbance,2021-11-01 09:18:41,5,pending,60262554
z2Es2,Identity theft,2022-01-13 02:04:45,2,pending,47868993
sJMQ5,Child abuse,2021-07-14 00:42:11,5,closed,42367246
kbXzk,Cybercrime,2022-08-29 05:56:58,3,closed,48591927
TlL6c,Vandalism in a park,2022-06-20 20:02:29,3,pending,20928878
ZXVuA,Homicide,2021-01-24 06:09:36,9,pending,07907762
GsqRL,Cybercrime,2019-10-10 16:44:22,6,closed,16636504
hblVc,Drug trafficking,2021-02-13 16:57:01,2,pending,78475120
4pbv5,Robbery at a convenience store,2021-12-14 01:12:32,6,pending,85302159
pMinc,Vandalism in a park,2020-05-11 23:54:37,9,closed,47902743
YaF9c,Child abuse,2021-09-06 23:38:54,2,closed,53782837
Dqvcf,Environmental crime,2022-11-09 23:13:49,10,pending,77013747
hS35D,Drug trafficking,2022-07-23 08:29:19,9,pending,63726493
PNzrh,Child abuse,2020-11-09 11:34:35,8,closed,74702853
DdDSS,Car theft,2019-07-28 09:01:33,7,closed,11687320
JpQyc,Assault on an officer,2021-12-15 09:02:48,3,closed,09215924
